yearMonth,active_students,total_minutes_watched,avg_minutes_per_active_student,prev_month_minutes,mom_growth_pct
2022-01,1690,86953.1999999996,51.45,NULL,NULL
2022-02,1834,129973.10000000011,70.87,86953.1999999996,49.47
2022-03,2247,179715.10000000108,79.98,129973.10000000011,38.27
2022-04,2054,173665.8,84.55,179715.10000000108,-3.37
2022-05,2087,161828.40000000014,77.54,173665.8,-6.82
2022-06,2587,192599.50000000096,74.45,161828.40000000014,19.01
2022-07,2357,203366.50000000175,86.28,192599.50000000096,5.59
2022-08,3829,318584.7999999992,83.2,203366.50000000175,56.66
2022-09,2984,204158.70000000176,68.42,318584.7999999992,-35.92
2022-10,2733,184743.00000000218,67.6,204158.70000000176,-9.51
