country,registered_students,active_watching_students,total_minutes_watched,avg_minutes_per_registered_student,avg_minutes_per_active_student
IN,6933,3388,181375.4000000012,26.16,53.53
US,4768,2587,449029.2999999988,94.18,173.57
EG,3003,1471,65047.19999999991,21.66,44.22
GB,1748,843,113088.20000000003,64.7,134.15
NG,1718,892,75082.1,43.7,84.17
CA,1180,581,107944.90000000015,91.48,185.79
DE,982,501,63891.09999999993,65.06,127.53
PK,718,397,21489.6,29.93,54.13
ID,589,307,21741.799999999996,36.91,70.82
SA,565,318,22413.89999999998,39.67,70.48
PT,507,201,15281.699999999997,30.14,76.03
FR,485,238,18826.400000000023,38.82,79.1
TR,478,239,27860.1,58.28,116.57
AU,446,229,27487.399999999965,61.63,120.03
MA,443,246,5378.699999999997,12.14,21.86
BR,432,217,29366.999999999996,67.98,135.33
NL,421,233,29774.600000000006,70.72,127.79
ES,408,201,22067.59999999998,54.09,109.79
IT,390,174,20852.10000000001,53.47,119.84
BD,362,199,4783.0999999999985,13.21,24.04
KE,345,205,23095.99999999999,66.94,112.66
BG,335,104,12128.000000000004,36.2,116.62
VN,334,201,10034.599999999997,30.04,49.92
ZA,311,158,12928.100000000008,41.57,81.82
TN,309,157,5988.4000000000015,19.38,38.14
PH,301,186,23839.299999999996,79.2,128.17
IQ,268,114,1526.8999999999996,5.7,13.39
DZ,257,114,3135.299999999999,12.2,27.5
AE,250,145,26057.800000000007,104.23,179.71
MX,230,140,26705.299999999996,116.11,190.75
SG,227,142,35245.700000000004,155.27,248.21
IE,203,92,4511.999999999998,22.23,49.04
AZ,192,112,6039.199999999997,31.45,53.92
MY,192,103,12679.200000000003,66.04,123.1
SE,188,100,12848.999999999998,68.35,128.49
GH,187,93,9458.400000000001,50.58,101.7
PL,186,110,21575.7,116,196.14
BE,164,74,6759.800000000001,41.22,91.35
CO,157,100,16147.799999999996,102.85,161.48
AR,149,83,3030.2,20.34,36.51
LK,126,78,6975.600000000001,55.36,89.43
NP,123,80,2997.8000000000006,24.37,37.47
NZ,120,55,9596.599999999999,79.97,174.48
TH,118,66,8628.500000000002,73.12,130.73
